,img,time_bomb1,time_bomb2,time_bomb2_nice,time_bomb1_nice,time
0,031940_3M53.JPG,0.00874018669128418,0.11181187629699707,0.23041796684265134,0.008618831634521484,0.008596420288085938
1,027529_01M62.JPG,0.0086669921875,0.06363892555236816,0.09968900680541992,0.008547544479370117,0.008541345596313477
2,035285_2M53.JPG,0.008649826049804688,0.023885488510131836,0.027865171432495117,0.008498907089233398,0.008539915084838867
3,034280_00M56.JPG,0.008646011352539062,0.031874418258666985,0.03187298774719238,0.008529901504516602,0.00850820541381836
4,035735_04M58.JPG,0.00865030288696289,0.03587794303894043,0.027878522872924805,0.008523225784301758,0.008499860763549805
5,034913_1M54.JPG,0.008643150329589844,0.0238800048828125,0.031883955001831055,0.00849008560180664,0.008498191833496094
6,035285_0M52.JPG,0.008650779724121094,0.02788376808166504,0.03188180923461914,0.00849151611328125,0.008498430252075195
7,035838_4M53.JPG,0.008640050888061523,0.02789831161499023,0.02788829803466797,0.008484363555908203,0.00850677490234375
8,031494_0M56.JPG,0.008552312850952148,0.031891584396362305,0.031893253326416016,0.00847768783569336,0.008509397506713867
9,037372_0M51.JPG,0.008503913879394531,0.03986954689025879,0.03983807563781738,0.00848841667175293,0.008502483367919922
10,022066_01M64.JPG,0.008499860763549805,0.019880294799804688,0.027875661849975586,0.008500099182128906,0.008496999740600586
11,029417_0M56.JPG,0.008509635925292969,0.03188467025756836,0.02788519859313965,0.008486509323120117,0.008499383926391602
12,022066_02M64.JPG,0.008613824844360352,0.023876428604125977,0.035876989364624016,0.008476734161376953,0.008509159088134766
13,030316_0M58.JPG,0.00855255126953125,0.023891448974609375,0.023893356323242188,0.008478641510009766,0.008512496948242188
14,035838_13M53.JPG,0.008626222610473633,0.03188657760620117,0.035881996154785156,0.008476018905639648,0.008506059646606445
15,028302_2M65.JPG,0.00865030288696289,0.02788066864013672,0.023881912231445312,0.008483171463012695,0.008511066436767578
16,035483_1M54.JPG,0.008602142333984375,0.027883052825927738,0.031872034072875984,0.008514404296875,0.008506298065185547
17,030067_00M58.JPG,0.008533239364624023,0.031881093978881836,0.02789020538330078,0.0084991455078125,0.008503198623657227
18,027017_1M58.JPG,0.008603572845458984,0.03186178207397461,0.03189873695373535,0.008498191833496094,0.008512496948242188
19,033822_4M61.JPG,0.008646965026855469,0.02390146255493164,0.035876989364624016,0.00848698616027832,0.008512496948242188
20,035625_11M52.JPG,0.008547067642211914,0.031886816024780266,0.023874759674072262,0.008529424667358398,0.00850677490234375
21,035282_0M56.JPG,0.00850534439086914,0.02789020538330078,0.027881860733032227,0.008496522903442383,0.008504867553710938
22,035708_00M56.JPG,0.008488178253173828,0.03188490867614746,0.031080722808837887,0.008499860763549805,0.008507013320922852
23,035537_00M54.JPG,0.008505582809448242,0.035883188247680664,0.028681516647338867,0.008479595184326172,0.00850224494934082
24,034907_5M55.JPG,0.008528470993041992,0.02386784553527832,0.03189516067504883,0.008472204208374023,0.008554220199584961
25,035504_1M52.JPG,0.00850224494934082,0.03589153289794922,0.02787947654724121,0.008473873138427734,0.008503913879394531
26,030583_03M62.JPG,0.008493423461914062,0.02285003662109375,0.027889013290405273,0.008474349975585938,0.008503913879394531
27,037948_2M55.JPG,0.00848388671875,0.028912782669067383,0.031887054443359375,0.008498430252075195,0.0084991455078125
28,029783_00M65.JPG,0.008499383926391602,0.02788376808166504,0.031880855560302734,0.008500814437866211,0.008501768112182617
29,035650_1M53.JPG,0.008490562438964844,0.03188514709472656,0.03187251091003418,0.00848531723022461,0.008512735366821289
30,035479_2M54.JPG,0.008489608764648438,0.027890920639038086,0.023899078369140625,0.008478403091430664,0.008510828018188477
31,036051_2M54.JPG,0.008478879928588867,0.027886390686035156,0.027893781661987305,0.008477210998535156,0.008501529693603516
32,037948_0M55.JPG,0.008481740951538086,0.027887582778930664,0.03188133239746094,0.008470535278320312,0.0084991455078125
33,033265_3M58.JPG,0.008476495742797852,0.027886629104614258,0.031887292861938484,0.008508682250976562,0.008506298065185547
34,037882_03M55.JPG,0.008492708206176758,0.03584766387939453,0.035874366760253906,0.00849294662475586,0.00850367546081543
35,036804_1M52.JPG,0.008498668670654297,0.02790975570678711,0.02387213706970215,0.008480310440063477,0.00851130485534668
36,031940_2M53.JPG,0.008497238159179688,0.027878284454345703,0.03187727928161621,0.008475780487060547,0.008508682250976562
37,035198_1M54.JPG,0.008487462997436523,0.03189229965209961,0.02788829803466797,0.008471965789794922,0.008503198623657227
38,035702_0M53.JPG,0.008482217788696289,0.027886152267456055,0.039891719818115234,0.008480072021484375,0.008509397506713867
39,035005_6F56.JPG,0.00849008560180664,0.031874895095825195,0.01992034912109375,0.008506059646606445,0.008506059646606445
40,034108_1M62.JPG,0.008489131927490234,0.03187894821166992,0.03985261917114258,0.008494853973388672,0.008499622344970703
41,037747_0M50.JPG,0.008489131927490234,0.027888059616088867,0.023885250091552738,0.008484363555908203,0.008510351181030273
42,032572_2M54.JPG,0.008485078811645508,0.03188920021057129,0.02786779403686523,0.00847625732421875,0.008508682250976562
43,037710_0M51.JPG,0.008479118347167969,0.027972936630249023,0.03187727928161621,0.008491277694702148,0.008502960205078125
44,030624_1M64.JPG,0.008474349975585938,0.023880481719970703,0.03189516067504883,0.008502960205078125,0.008497476577758789
45,030380_0M64.JPG,0.008474588394165039,0.027888059616088867,0.023877620697021484,0.008491277694702148,0.008494853973388672
46,032876_0M59.JPG,0.008532047271728516,0.023878812789916992,0.028924226760864258,0.008481025695800781,0.00849604606628418
47,035557_03M54.JPG,0.008555173873901367,0.023878097534179688,0.0348515510559082,0.008506059646606445,0.008530616760253906
48,019066_4M69.JPG,0.008495807647705078,0.02389049530029297,0.0278775691986084,0.008478164672851562,0.008529424667358398
49,035005_5F56.JPG,0.00848388671875,0.03589606285095215,0.03588056564331055,0.00847315788269043,0.008505105972290039
50,031153_1M55.JPG,0.008480310440063477,0.027748584747314453,0.023881912231445312,0.008484601974487305,0.00850820541381836
51,035143_1M56.JPG,0.008485555648803711,0.027976512908935547,0.02789306640625,0.008491277694702148,0.008497476577758789
52,027288_6M61.JPG,0.008480072021484375,0.027890920639038086,0.027926921844482425,0.008479833602905273,0.008498430252075195
53,034347_0M57.JPG,0.00848388671875,0.03188180923461914,0.03181958198547363,0.008476495742797852,0.008516788482666016
54,032521_3M56.JPG,0.00848698616027832,0.027891874313354492,0.030991077423095707,0.008489847183227539,0.008512258529663086
55,025561_02M63.JPG,0.008475303649902344,0.031879663467407234,0.02076125144958496,0.008473873138427734,0.00850224494934082
56,036051_1M54.JPG,0.008478641510009766,0.027902841567993164,0.0358736515045166,0.008484363555908203,0.008503198623657227
57,028520_1F59.JPG,0.008475780487060547,0.03586864471435547,0.023872852325439453,0.008502960205078125,0.008499622344970703
58,031940_0M52.JPG,0.008507728576660156,0.023851394653320312,0.02389073371887207,0.008495092391967773,0.008510828018188477
59,035838_14M53.JPG,0.008502483367919922,0.031882286071777344,0.03185892105102539,0.008490324020385742,0.008514642715454102
60,029908_1M58.JPG,0.008484601974487305,0.027890443801879883,0.027896404266357425,0.008471012115478516,0.008508920669555664
61,032521_0M55.JPG,0.00851893424987793,0.027879953384399414,0.026587486267089844,0.008491754531860352,0.008528709411621094
62,031799_1M55.JPG,0.008484125137329102,0.03185319900512695,0.02918839454650879,0.00848841667175293,0.008506059646606445
63,035400_02M56.JPG,0.008480310440063477,0.02790379524230957,0.03988218307495117,0.0084991455078125,0.008499383926391602
64,022066_00M63.JPG,0.008481740951538086,0.031889677047729485,0.023881912231445312,0.00847935676574707,0.00850534439086914
65,033265_2M58.JPG,0.00848388671875,0.027888059616088867,0.023888349533081055,0.008475303649902344,0.008512258529663086
66,034913_0M54.JPG,0.008480548858642578,0.011877775192260742,0.031856536865234375,0.008473396301269531,0.008495330810546875
67,037948_1M55.JPG,0.008478164672851562,0.027878999710083008,0.02791571617126465,0.008476972579956055,0.008523225784301758
68,027324_02M67.JPG,0.008493661880493164,0.027882814407348633,0.035897493362426765,0.008522748947143555,0.008504152297973633
69,032259_1M57.JPG,0.008476018905639648,0.035886526107788086,0.02387404441833496,0.00848531723022461,0.008498907089233398
70,033822_2M60.JPG,0.008486509323120117,0.02389049530029297,0.031882286071777344,0.008470296859741211,0.008499622344970703
71,037636_0M59.JPG,0.008490324020385742,0.0285642147064209,0.023879289627075195,0.008481740951538086,0.00850534439086914
72,033822_0M59.JPG,0.008474111557006836,0.027198076248168945,0.02789592742919922,0.008471488952636719,0.008494377136230469
73,027017_0M58.JPG,0.008476018905639648,0.03188776969909668,0.027884960174560547,0.008483648300170898,0.008491992950439453
74,037747_3M51.JPG,0.008477210998535156,0.02788066864013672,0.028000831604003903,0.00849294662475586,0.008490324020385742
75,035400_0M53.JPG,0.008478641510009766,0.02788543701171875,0.0357663631439209,0.00847935676574707,0.008493185043334961
76,027930_0M58.JPG,0.008498668670654297,0.03188014030456543,0.028054237365722656,0.008477449417114258,0.008498430252075195
77,030380_1M64.JPG,0.008508920669555664,0.02788376808166504,0.039698123931884766,0.008475542068481445,0.008501529693603516
78,037276_0M50.JPG,0.008485555648803711,0.027889490127563477,0.03983759880065918,0.008473634719848633,0.008494377136230469
79,035838_1M52.JPG,0.008478164672851562,0.03187251091003418,0.023912429809570312,0.008481502532958984,0.008493661880493164
80,026988_0M59.JPG,0.00847625732421875,0.027888059616088867,0.03584742546081543,0.008489131927490234,0.008492469787597656
81,035557_04M54.JPG,0.008474588394165039,0.031889677047729485,0.031879425048828125,0.008480548858642578,0.00850820541381836
82,033893_0M58.JPG,0.008487939834594727,0.0278775691986084,0.03744792938232422,0.008475065231323242,0.00850057601928711
83,032377_0M61.JPG,0.008481264114379883,0.027892351150512695,0.02230668067932129,0.008475780487060547,0.008502006530761719
84,036487_10M55.JPG,0.008493900299072266,0.0318758487701416,0.03989672660827637,0.008473396301269531,0.008493900299072266
85,032876_1M59.JPG,0.008495807647705078,0.02788114547729492,0.02387666702270508,0.008486032485961914,0.008503437042236328
86,033825_1M61.JPG,0.008495807647705078,0.027891159057617188,0.03189277648925781,0.008493900299072266,0.008511066436767578
87,035625_9M52.JPG,0.008480072021484375,0.03188920021057129,0.019883394241333008,0.008481025695800781,0.008530378341674805
88,034727_1M56.JPG,0.008484601974487305,0.02786850929260254,0.03188323974609375,0.008473873138427734,0.008549690246582031
89,028302_3M65.JPG,0.00848245620727539,0.02788376808166504,0.027885913848876953,0.008477926254272461,0.008497953414916992
90,035838_11M53.JPG,0.008489370346069336,0.03588247299194336,0.02788114547729492,0.008472442626953125,0.008494138717651367
91,019066_2M69.JPG,0.00848698616027832,0.023884296417236328,0.03589200973510742,0.008486509323120117,0.008517265319824219
92,035839_2M54.JPG,0.008477926254272461,0.03589320182800293,0.023880720138549805,0.008491277694702148,0.008502006530761719
93,027930_1M58.JPG,0.008489131927490234,0.0238645076751709,0.027898073196411133,0.008476972579956055,0.00850820541381836
94,037372_02M54.JPG,0.008489131927490234,0.03588724136352539,0.02787160873413086,0.008466005325317383,0.008527040481567383
95,025119_1M60.JPG,0.008500337600708008,0.031879186630249016,0.027901411056518555,0.00847625732421875,0.008506059646606445
96,036342_00M53.JPG,0.008473873138427734,0.01989126205444336,0.0278775691986084,0.00847482681274414,0.008507728576660156
97,034347_2M58.JPG,0.008472442626953125,0.02788734436035156,0.02790069580078125,0.008485555648803711,0.008516788482666016
98,037156_1M52.JPG,0.00847482681274414,0.03187704086303711,0.008502721786499023,0.008488893508911133,0.008499622344970703
99,036487_2M52.JPG,0.008477926254272461,0.02788233757019043,0.015407323837280272,0.00847482681274414,0.008511066436767578
