,img,time,time_bomb1,time_bomb2,overhead_increase_bomb1,overhead_increase_bomb2
0,031940_3M53.JPG,0.0086472034454345,0.0086162090301513,0.3130156993865967,0.3584328214177025,3519.8489067799246
1,027529_01M62.JPG,0.008544921875,0.0085434913635253,0.0317089557647705,0.01674107142962709,271.0853794642856
2,035285_2M53.JPG,0.008500337600708,0.00850510597229,0.0438098907470703,0.0560962611838248,415.39000925588346
3,034280_00M56.JPG,0.0085077285766601,0.008495807647705,0.0487041473388671,0.14011882076027046,472.469454097077
4,035735_04M58.JPG,0.0084855556488037,0.0084879398345947,0.0349316596984863,0.02809699081210005,311.6602511870981
5,034913_1M54.JPG,0.0084843635559082,0.0084903240203857,0.0478155612945556,0.07025234642792091,463.57275332996073
6,035285_0M52.JPG,0.008502721786499,0.0084853172302246,0.0638279914855957,0.20469394049837292,650.6771724195967
7,035838_4M53.JPG,0.0085091590881347,0.0084812641143798,0.0798196792602539,0.3278229195855244,838.0442701036777
8,031494_0M56.JPG,0.0084879398345947,0.0084841251373291,0.0678086280822753,0.044942557793034424,698.8820538748926
9,037372_0M51.JPG,0.008491039276123,0.008481740951538,0.0598251819610595,0.10950749705219173,604.5684281462377
10,022066_01M64.JPG,0.0084865093231201,0.0085034370422363,0.0518057346343994,0.19946621716520996,510.44809664278796
11,029417_0M56.JPG,0.0084884166717529,0.0084812641143798,0.0478942394256591,0.0842625621442734,464.230542370026
12,022066_02M64.JPG,0.00848388671875,0.0084824562072753,0.0517446994781494,0.016861510792430166,509.9173785971221
13,030316_0M58.JPG,0.0084812641143798,0.0085000991821289,0.0553836822509765,0.2220785427158826,553.0121159306273
14,035838_13M53.JPG,0.0084846019744873,0.0085048675537109,0.0642580986022949,0.238851265911321,657.3495939528481
15,028302_2M65.JPG,0.0084850788116455,0.0084967613220214,0.0478243827819824,0.13768299193481107,463.6292112731465
16,035483_1M54.JPG,0.0084807872772216,0.0084931850433349,0.0238151550292968,0.14618650023918509,180.8130218436384
17,030067_00M58.JPG,0.0084772109985351,0.0084903240203857,0.0398235321044921,0.15468556643058434,369.77162785465384
18,027017_1M58.JPG,0.0084757804870605,0.0084795951843261,0.0597898960113525,0.04500703234851821,605.4205344585125
19,033822_4M61.JPG,0.0084760189056396,0.0084965229034423,0.0438399314880371,0.24190599420509964,417.2231442153555
20,035625_11M52.JPG,0.0084812641143798,0.0084939002990722,0.0518183708190918,0.14898940207481315,510.9746155792374
21,035282_0M56.JPG,0.0084824562072753,0.0084912776947021,0.062709093093872,0.10399685198767503,639.279892068139
22,035708_00M56.JPG,0.0084824562072753,0.0084826946258544,0.0689802169799804,0.002810725729362906,713.2104109281095
23,035537_00M54.JPG,0.0084917545318603,0.0084874629974365,0.0557775497436523,0.050537664598039406,556.8436420810323
24,034907_5M55.JPG,0.008486270904541,0.0084872245788574,0.0718441009521484,0.011237849075605169,746.5921222677989
25,035504_1M52.JPG,0.008486270904541,0.0084781646728515,0.0297143459320068,0.09552171714389086,250.14609203798415
26,030583_03M62.JPG,0.0084867477416992,0.0084805488586425,0.0698976516723632,0.07304191482258524,723.6093943139688
27,037948_2M55.JPG,0.0084834098815917,0.0084822177886962,0.071812629699707,0.014052048788611314,746.5066606711353
28,029783_00M65.JPG,0.0084922313690185,0.0085089206695556,0.0678012371063232,0.1965243269040795,698.3913080097748
29,035650_1M53.JPG,0.0084834098815917,0.0085005760192871,0.0398323535919189,0.20234950255851808,369.5323478163164
30,035479_2M54.JPG,0.0084786415100097,0.0084877014160156,0.0758142471313476,0.10685563241711635,794.179180023627
31,036051_2M54.JPG,0.0084743499755859,0.0084865093231201,0.0238146781921386,0.14348413234325777,181.02070672968756
32,037948_0M55.JPG,0.0084767341613769,0.0084891319274902,0.0678331851959228,0.1462563987176699,700.2278224672374
33,033265_3M58.JPG,0.008476972579956,0.0084853172302246,0.0398147106170654,0.09843903811052365,369.6807762621318
34,037882_03M55.JPG,0.0084719657897949,0.0084791183471679,0.0278139114379882,0.08442618337311765,228.3052850790791
35,036804_1M52.JPG,0.008486270904541,0.0084812641143798,0.0598270893096923,0.05899870764815362,604.9867955273363
36,031940_2M53.JPG,0.008481740951538,0.0084877014160156,0.0086746215820312,0.0702740688693245,2.274068868587944
37,035198_1M54.JPG,0.0084826946258544,0.0085046291351318,0.0589790344238281,0.25857949914340994,595.2865454341116
38,035702_0M53.JPG,0.0084807872772216,0.0084860324859619,0.0798025131225586,0.06184813471726039,840.98001180738
39,035005_6F56.JPG,0.0084860324859619,0.0084924697875976,0.0238196849822998,0.07585761245139612,180.69283286039433
40,034108_1M62.JPG,0.0084795951843261,0.0084922313690185,0.0758032798767089,0.1490187257494965,793.9492773997703
41,037747_0M50.JPG,0.0084819793701171,0.0084860324859619,0.0638206005096435,0.0477850236122829,652.4257926692222
42,032572_2M54.JPG,0.0084810256958007,0.0084803104400634,0.0718288421630859,0.008433599460188353,746.9357921961171
43,037710_0M51.JPG,0.008476972579956,0.0084812641143798,0.0318286418914794,0.05062579102765772,275.4718042469427
44,030624_1M64.JPG,0.0085067749023437,0.0084943771362304,0.0518255233764648,0.1457399103141265,509.2264573991062
45,030380_0M64.JPG,0.0084905624389648,0.0084850788116455,0.0158257484436035,0.06458497135756093,86.39222733909992
46,032876_0M59.JPG,0.0084803104400634,0.0084824562072753,0.0637910366058349,0.025302932328549785,652.2252523264701
47,035557_03M54.JPG,0.0085020065307617,0.008509874343872,0.0638313293457031,0.09254066180533313,650.7795849691545
48,019066_4M69.JPG,0.0084841251373291,0.0084812641143798,0.0758683681488037,0.03372207390850632,794.239145707461
49,035005_5F56.JPG,0.0084812641143798,0.0084781646728515,0.0717575550079345,0.03654457031994157,746.0714586905874
50,031153_1M55.JPG,0.0084803104400634,0.0084826946258544,0.0742204189300537,0.028114369253941934,775.2087491917196
51,035143_1M56.JPG,0.0084972381591796,0.008479356765747,0.0654196739196777,0.21043771043752885,669.893378226719
52,027288_6M61.JPG,0.0084795951843261,0.0084791183471679,0.0518054962158203,0.005623348141463029,510.9430354833317
53,034347_0M57.JPG,0.0084774494171142,0.0084774494171142,0.0718264579772949,0.0,747.2649548612142
54,032521_3M56.JPG,0.0084819793701171,0.0084788799285888,0.0632815361022949,0.03654148864380509,646.0703845289031
55,025561_02M63.JPG,0.0084779262542724,0.0084774494171142,0.0723512172698974,0.00562445513086831,753.4070136955537
56,036051_1M54.JPG,0.0084767341613769,0.0084788799285888,0.0678122043609619,0.025313607470163275,699.9803116386391
57,028520_1F59.JPG,0.0084753036499023,0.0084898471832275,0.0638477802276611,0.17159896478005757,653.3391470687557
58,031940_0M52.JPG,0.0084848403930664,0.0084805488586425,0.0626959800720214,0.05057884680313119,638.9176126784306
59,035838_14M53.JPG,0.0084879398345947,0.0084822177886962,0.0689363479614257,0.06741383669071659,712.168197522543
60,029908_1M58.JPG,0.0084893703460693,0.0084760189056396,0.0238127708435058,0.15727244642921664,180.50102507933886
61,032521_0M55.JPG,0.0084905624389648,0.0084774494171142,0.0678160190582275,0.15444232281269935,698.722340784009
62,031799_1M55.JPG,0.008479356765747,0.0084798336029052,0.0478200912475585,0.005623506256130299,463.9589484043337
63,035400_02M56.JPG,0.0084884166717529,0.0084767341613769,0.0678181648254394,0.13762885150156456,698.949526725278
64,022066_00M63.JPG,0.0084855556488037,0.0084743499755859,0.0238134860992431,0.13205585681806206,180.63555393217348
65,033265_2M58.JPG,0.0084731578826904,0.0084798336029052,0.059814453125,0.07878668504971496,605.928698050032
66,034913_0M54.JPG,0.008472204208374,0.0084791183471679,0.0558147430419921,0.08160968059606277,558.7983678063888
67,037948_1M55.JPG,0.0084786415100097,0.0084767341613769,0.071824312210083,0.022495922613883165,747.1205219054111
68,027324_02M67.JPG,0.0084772109985351,0.0084788799285888,0.0638208389282226,0.01968725390918302,652.8518393520125
69,032259_1M57.JPG,0.0084784030914306,0.008481740951538,0.0518205165863037,0.03936897162595405,511.2060965664677
70,033822_2M60.JPG,0.0084717273712158,0.0084815025329589,0.0718204975128173,0.11538569780128582,747.7668646047348
71,037636_0M59.JPG,0.0084757804870605,0.0084850788116455,0.0558154582977294,0.10970464135066184,558.5288326301011
72,033822_0M59.JPG,0.0084810256958007,0.0084791183471679,0.0398311614990234,0.02248959856052273,369.6502867423858
73,027017_0M58.JPG,0.0084772109985351,0.0084807872772216,0.0478091239929199,0.04218697266255551,463.97232534593667
74,037747_3M51.JPG,0.0084741115570068,0.0084829330444335,0.0758290290832519,0.1040992600505305,794.8316124131367
75,035400_0M53.JPG,0.0084772109985351,0.008479356765747,0.0638332366943359,0.025312183597521024,652.9980875239104
76,027930_0M58.JPG,0.0084750652313232,0.0084760189056396,0.0205757617950439,0.01125270768270435,142.779981433033
77,030380_1M64.JPG,0.0084757804870605,0.0084798336029052,0.0630691051483154,0.047819971870298045,644.109704641354
78,037276_0M50.JPG,0.0084729194641113,0.0085294246673583,0.055809736251831,0.6668917778144591,558.6836625583898
79,035838_1M52.JPG,0.0084743499755859,0.0084900856018066,0.0518109798431396,0.18568534773799522,511.38588791357404
80,026988_0M59.JPG,0.0084767341613769,0.0084781646728515,0.0758240222930908,0.016875738313449,794.4956966867355
81,035557_04M54.JPG,0.0084750652313232,0.0084819793701171,0.0678281784057617,0.08158213069966797,700.3263285228046
82,033893_0M58.JPG,0.0084733963012695,0.008479356765747,0.0663957595825195,0.07034327518242191,683.5790658413081
83,032377_0M61.JPG,0.0084719657897949,0.0084798336029052,0.0686988830566406,0.09286880171044376,710.8966060674302
84,036487_10M55.JPG,0.0084807872772216,0.0084760189056396,0.0565452575683593,0.05622557701461646,566.745382474493
85,032876_1M59.JPG,0.008479356765747,0.0085046291351318,0.0636389255523681,0.29804583157639924,650.5159566990072
86,033825_1M61.JPG,0.0084772109985351,0.0084853172302246,0.0238223075866699,0.09562380470299436,181.01586230172282
87,035625_9M52.JPG,0.0084712505340576,0.0084750652313232,0.0598211288452148,0.045031099602876844,606.1664462019091
88,034727_1M56.JPG,0.0084753036499023,0.0084767341613769,0.0758092403411865,0.01687858669955096,794.4722628558611
89,028302_3M65.JPG,0.0084798336029052,0.0084779262542724,0.0758295059204101,0.02249276014268602,794.2334186183892
90,035838_11M53.JPG,0.0084705352783203,0.0084798336029052,0.0518264770507812,0.10977257374393547,511.8441792389105
91,019066_2M69.JPG,0.0084736347198486,0.0085315704345703,0.0678122043609619,0.6837173968095671,700.2729242283589
92,035839_2M54.JPG,0.0084810256958007,0.0085246562957763,0.0678141117095947,0.5144495670753962,699.5979984257355
93,027930_1M58.JPG,0.0084831714630126,0.0084946155548095,0.0398273468017578,0.13490345971193166,369.48652370647767
94,037372_02M54.JPG,0.0084712505340576,0.0084857940673828,0.0718040466308593,0.1716810672371224,747.6203878303462
95,025119_1M60.JPG,0.0084784030914306,0.0084891319274902,0.0198180675506591,0.1265431230846265,133.74764489187675
96,036342_00M53.JPG,0.0084753036499023,0.0084807872772216,0.0678212642669677,0.06470124901498628,700.2222347248824
97,034347_2M58.JPG,0.0084767341613769,0.008488655090332,0.0438141822814941,0.14063115261319376,416.87573831355405
98,037156_1M52.JPG,0.0084791183471679,0.0084915161132812,0.0678143501281738,0.14621527387268154,699.7806770891975
99,036487_2M52.JPG,0.0084738731384277,0.0084824562072753,0.0758166313171386,0.10128861628430398,794.7104833717884
